,method,n,n_types,run,t_total,t_ref,t_annot
0,RefCM,5000,10,0,0.4920885840256233,,0.4920885840256233
1,clustifyr,5000,10,0,1.2064752089791,0.8191644999897107,0.38731070898938924
2,CIPR,5000,10,0,3.4164209169975948,0.14887554198503494,3.26754537501256
3,SingleRcluster,5000,10,0,0.7446140410029329,,0.7446140410029329
4,CellTypist,5000,10,0,57.83827016601572,57.7808330830012,0.057437083014519885
5,SVM,5000,10,0,1.4702886659943033,1.463799499993911,0.006489166000392288
6,Seurat,5000,10,0,4.178325374989072,,4.178325374989072
7,SingleR,5000,10,0,4.101854332984658,,4.101854332984658
8,scmapcell,5000,10,0,3.752920250990428,3.117955958994571,0.6349642919958569
9,scmapcluster,5000,10,0,1.5436358750157524,1.2473825420020148,0.2962533330137376
10,RefCM,5000,10,1,0.4511626250168774,,0.4511626250168774
11,clustifyr,5000,10,1,0.2377166250080336,0.12673212500521913,0.11098450000281446
12,CIPR,5000,10,1,2.6074340830091387,0.15354845800902694,2.4538856250001118
13,SingleRcluster,5000,10,1,0.5050935000181198,,0.5050935000181198
14,CellTypist,5000,10,1,0.8383467490202747,0.7849195830058306,0.05342716601444408
15,SVM,5000,10,1,0.386259707971476,0.38046324998140335,0.005796457990072668
16,Seurat,5000,10,1,3.748519957996905,,3.748519957996905
17,SingleR,5000,10,1,2.719094958010828,,2.719094958010828
18,scmapcell,5000,10,1,3.4858998749987222,2.940485750004882,0.5454141249938402
19,scmapcluster,5000,10,1,1.5339756660105195,1.315286791010294,0.21868887500022538
20,RefCM,5000,10,2,0.5257617919996846,,0.5257617919996846
21,clustifyr,5000,10,2,0.20325616697664373,0.09592795898788609,0.10732820798875764
22,CIPR,5000,10,2,1.8310731249803212,0.11154795897891745,1.7195251660014037
23,SingleRcluster,5000,10,2,1.1607476669887546,,1.1607476669887546
24,CellTypist,5000,10,2,1.1408865829871502,1.0866887499869335,0.05419783300021663
25,SVM,5000,10,2,2.0629497919871937,2.0574715420079883,0.0054782499792054296
26,Seurat,5000,10,2,3.87929383298615,,3.87929383298615
27,SingleR,5000,10,2,5.729529750009533,,5.729529750009533
28,scmapcell,5000,10,2,3.2445963329810183,2.674701374984579,0.5698949579964392
29,scmapcluster,5000,10,2,1.518387292016996,1.2588568330102134,0.2595304590067826
30,RefCM,5000,10,3,0.43384974999935366,,0.43384974999935366
31,clustifyr,5000,10,3,0.33855345702613704,0.21527016602340154,0.1232832910027355
32,CIPR,5000,10,3,2.8513550410280004,0.16426312501425855,2.687091916013742
33,SingleRcluster,5000,10,3,0.37882241600891575,,0.37882241600891575
34,CellTypist,5000,10,3,0.8738350420026109,0.8185684579948429,0.05526658400776796
35,SVM,5000,10,3,1.758690915972693,1.7516040409973357,0.007086874975357205
36,Seurat,5000,10,3,3.763965999998618,,3.763965999998618
37,SingleR,5000,10,3,2.5446221670135856,,2.5446221670135856
38,scmapcell,5000,10,3,3.8905465829884633,3.2400948329886887,0.6504517499997746
39,scmapcluster,5000,10,3,1.3063473750371486,1.078994125011377,0.22735325002577156
40,RefCM,5000,10,4,0.5989052079967223,,0.5989052079967223
41,clustifyr,5000,10,4,0.19352183400769718,0.09349508400191553,0.10002675000578165
42,CIPR,5000,10,4,1.8960157500114292,0.11274970800150186,1.7832660420099273
43,SingleRcluster,5000,10,4,0.09179395798128098,,0.09179395798128098
44,CellTypist,5000,10,4,0.8874970839824528,0.8373057499993593,0.0501913339830935
45,SVM,5000,10,4,1.0575159580039326,1.0515947919921018,0.005921166011830792
46,Seurat,5000,10,4,3.8022625830199104,,3.8022625830199104
47,SingleR,5000,10,4,0.4157459169800859,,0.4157459169800859
48,scmapcell,5000,10,4,3.347419333003927,2.753597875009291,0.5938214579946361
49,scmapcluster,5000,10,4,1.7154639990185387,1.4886390410247259,0.22682495799381286
50,RefCM,20000,20,0,2.536753291002242,,2.536753291002242
51,clustifyr,20000,20,0,1.195253915997455,0.7923410829971544,0.40291283300030045
52,CIPR,20000,20,0,18.009502207976766,0.49743387498892844,17.512068332987837
53,SingleRcluster,20000,20,0,0.9123556250124238,,0.9123556250124238
54,CellTypist,20000,20,0,6.690507457999047,6.602637292002328,0.08787016599671915
55,SVM,20000,20,0,8.663569916010601,8.643983041023603,0.019586874986998737
56,Seurat,20000,20,0,13.07120966698858,,13.07120966698858
57,SingleR,20000,20,0,13.849312625010498,,13.849312625010498
58,scmapcell,20000,20,0,25.030112209002255,17.689180000015767,7.340932208986487
59,scmapcluster,20000,20,0,8.00242812599754,7.331376167014241,0.6710519589832984
60,RefCM,20000,20,1,3.00586820897297,,3.00586820897297
61,clustifyr,20000,20,1,1.0206421659968328,0.6818992079934105,0.33874295800342225
62,CIPR,20000,20,1,17.002602916996693,0.532056541997008,16.470546374999685
63,SingleRcluster,20000,20,1,5.047578750003595,,5.047578750003595
64,CellTypist,20000,20,1,8.182268792996183,8.104971084016142,0.07729770898004062
